strain	filter	kwargs
MG601446	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541243	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB039780	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
HF952134	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB447449	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB039777	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541327	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541273	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB220921	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
NC_029646	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
LN854569	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541260	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
HF952121	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB972483	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
KU757049	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
DQ369797	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
HF952128	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541225	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541205	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AY032605	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541278	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541270	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB447447	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB447458	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541248	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541239	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541335	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
HF952125	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541201	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541285	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541333	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541330	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541263	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541309	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB447446	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541353	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB972466	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB447444	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541216	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541251	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541254	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB972487	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AY823305	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB972470	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541332	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541312	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
HF952123	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB083780	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541269	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AY587989	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB972478	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541297	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541313	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
LN854563	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
NC_008311	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AY587988	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB972488	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB220923	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541329	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB447427	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB039774	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541258	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
FV536856	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541286	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541300	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541272	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB447455	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
KX396056	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541276	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541271	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB972505	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB447436	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AY741811	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541277	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541291	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541229	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB972465	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
DQ415279	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
HF952120	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
LN854564	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
KU757050	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541203	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
DQ456824	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB972496	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
HF952124	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
M87661	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB447460	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541232	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541233	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541325	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541349	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541280	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB447454	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB972476	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541268	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
KC782764	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
KC662537	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
HF952122	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541240	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB543808	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB081723	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB972467	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB972474	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541202	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541282	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541360	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
HF952135	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB220922	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB447443	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB039781	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB039776	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541317	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541212	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541315	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB039775	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB042808	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541338	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541245	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541259	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
LP956636	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB972471	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
EF187497	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB972504	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB972468	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541341	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541346	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541235	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AY587986	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541289	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541311	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
FV536857	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
KU757047	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
HF952130	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541261	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541316	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541211	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
HF952129	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
JQ658375	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541283	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541288	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541301	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541230	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541244	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB447448	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB972503	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
DQ285629	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
EF014462	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
LN854565	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
HF952133	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
LP956637	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541257	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AY126474	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541323	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB447461	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541217	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541236	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
EU921344	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB447462	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541219	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541340	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
LN854566	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
DQ223041	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541218	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB447431	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541343	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
EF531290	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
EU424333	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB039782	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AY587983	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541351	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB972491	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541318	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
NC_001959	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB972482	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AY502023	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541209	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541339	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB447450	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541262	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541306	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541275	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541221	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541308	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB972492	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB447429	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB972469	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
U07611	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AY587985	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB447433	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541294	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB972477	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB972493	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB972485	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB972473	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541324	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AY587987	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541310	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
KU757051	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
KU757052	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AY772730	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
HV321704	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541331	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB447440	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
DQ658413	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB972490	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
LN854568	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
EU482058	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541256	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AY581254	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541292	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
NC_031324	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB447430	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AF093797	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AF145896	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB084071	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541246	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541356	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
DQ223042	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541234	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB447445	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB447428	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
LN854567	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541274	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB039779	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541241	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB447441	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AY587984	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB447452	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
MG601447	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
LN854571	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AY134748	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
X86557	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541224	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541336	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541267	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
KU306738	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB972484	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541242	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541227	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541319	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541350	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AF504671	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541355	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AY237415	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541347	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541238	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB541302	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
AB972494	filter_by_ambiguous_date	"[[""ambiguity"", ""year""], [""date_column"", ""date""]]"
